Inline	TWT
0	 378.00 
1	 375.60 
2	 373.08 
3	 370.51 
4	 367.90 
5	 365.26 
6	 362.58 
7	 359.87 
8	 357.14 
9	 354.39 
10	 351.62 
11	 348.84 
12	 346.06 
13	 343.26 
14	 340.47 
15	 337.68 
16	 334.90 
17	 332.13 
18	 329.38 
19	 326.65 
20	 323.94 
21	 321.26 
22	 318.64 
23	 316.11 
24	 313.66 
25	 311.25 
26	 308.89 
27	 306.55 
28	 304.21 
29	 301.87 
30	 299.49 
31	 297.07 
32	 294.59 
33	 292.04 
34	 289.39 
35	 286.62 
36	 283.74 
37	 280.71 
38	 277.52 
39	 274.15 
40	 270.35 
41	 265.96 
42	 261.12 
43	 255.99 
44	 250.70 
45	 245.40 
46	 240.24 
47	 235.37 
48	 230.92 
49	 227.05 
50	 223.51 
51	 219.98 
52	 216.57 
53	 213.36 
54	 210.42 
55	 207.84 
56	 205.71 
57	 204.11 
58	 202.81 
59	 201.57 
60	 200.45 
61	 199.48 
62	 198.73 
63	 198.24 
64	 198.07 
65	 198.38 
66	 199.25 
67	 200.59 
68	 202.31 
69	 204.32 
70	 206.52 
71	 210.11 
72	 215.62 
73	 221.99 
74	 228.17 
75	 233.09 
76	 236.72 
77	 239.84 
78	 242.62 
79	 245.22 
80	 247.82 
81	 250.58 
82	 253.67 
83	 257.25 
84	 261.72 
85	 267.09 
86	 272.91 
87	 278.74 
88	 284.14 
89	 288.65 
90	 292.41 
91	 295.87 
92	 299.08 
93	 302.09 
94	 304.95 
95	 307.70 
96	 310.39 
97	 312.96 
98	 315.37 
99	 317.63 
