Depth,Vp_blk,Vs_blk,Rho_blk,Vsh_blk
1650.13,3.299,1.846,2.421,0.582
1650.28,3.299,1.846,2.421,0.582
1650.43,3.299,1.846,2.421,0.582
1650.59,3.299,1.846,2.421,0.582
1650.74,3.299,1.846,2.421,0.582
1650.89,3.299,1.846,2.421,0.582
1651.04,3.299,1.846,2.421,0.582
1651.2,3.299,1.846,2.421,0.582
1651.35,3.299,1.846,2.421,0.582
1651.5,3.299,1.846,2.421,0.582
1651.65,3.299,1.846,2.421,0.582
1651.81,3.299,1.846,2.421,0.582
1651.96,3.299,1.846,2.421,0.582
1652.11,3.299,1.846,2.421,0.582
1652.26,3.299,1.846,2.421,0.582
1652.42,3.299,1.846,2.421,0.582
1652.57,3.299,1.846,2.421,0.582
1652.72,3.299,1.846,2.421,0.582
1652.87,3.299,1.846,2.421,0.582
1653.02,3.299,1.846,2.421,0.582
1653.18,3.299,1.846,2.421,0.582
1653.33,3.299,1.846,2.421,0.582
1653.48,3.299,1.846,2.421,0.582
1653.63,3.299,1.846,2.421,0.582
1653.79,3.299,1.846,2.421,0.582
1653.94,3.299,1.846,2.421,0.582
1654.09,3.299,1.846,2.421,0.582
1654.24,3.299,1.846,2.421,0.582
1654.4,3.299,1.846,2.421,0.582
1654.55,3.299,1.846,2.421,0.582
1654.7,3.299,1.846,2.421,0.582
1654.85,3.299,1.846,2.421,0.582
1655.01,3.299,1.846,2.421,0.582
1655.16,3.299,1.846,2.421,0.582
1655.31,3.299,1.846,2.421,0.582
1655.46,3.299,1.846,2.421,0.582
1655.62,3.299,1.846,2.421,0.582
1655.77,3.299,1.846,2.421,0.582
1655.92,3.299,1.846,2.421,0.582
1656.07,3.299,1.846,2.421,0.582
1656.23,3.299,1.846,2.421,0.582
1656.38,3.299,1.846,2.421,0.582
1656.53,3.299,1.846,2.421,0.582
1656.68,3.299,1.846,2.421,0.582
1656.83,3.299,1.846,2.421,0.582
1656.99,3.299,1.846,2.421,0.582
1657.14,3.299,1.846,2.421,0.582
1657.29,3.299,1.846,2.421,0.582
1657.44,3.299,1.846,2.421,0.582
1657.6,3.299,1.846,2.421,0.582
1657.75,3.299,1.846,2.421,0.582
1657.9,3.299,1.846,2.421,0.582
1658.05,3.299,1.846,2.421,0.582
1658.21,3.299,1.846,2.421,0.582
1658.36,3.299,1.846,2.421,0.582
1658.51,3.299,1.846,2.421,0.582
1658.66,3.299,1.846,2.421,0.582
1658.82,3.299,1.846,2.421,0.582
1658.97,3.299,1.846,2.421,0.582
1659.12,3.299,1.846,2.421,0.582
1659.27,3.299,1.846,2.421,0.582
1659.43,3.299,1.846,2.421,0.582
1659.58,3.299,1.846,2.421,0.582
1659.73,3.299,1.846,2.421,0.582
1659.88,3.299,1.846,2.421,0.582
1660.04,3.299,1.846,2.421,0.582
1660.19,3.299,1.846,2.421,0.582
1660.34,3.299,1.846,2.421,0.582
1660.49,3.299,1.846,2.421,0.582
1660.64,3.299,1.846,2.421,0.582
1660.8,3.299,1.846,2.421,0.582
1660.95,3.299,1.846,2.421,0.582
1661.1,3.299,1.846,2.421,0.582
1661.25,3.299,1.846,2.421,0.582
1661.41,3.299,1.846,2.421,0.582
1661.56,3.299,1.846,2.421,0.582
1661.71,3.299,1.846,2.421,0.582
1661.86,3.299,1.846,2.421,0.582
1662.02,3.299,1.846,2.421,0.582
1662.17,3.299,1.846,2.421,0.582
1662.32,3.299,1.846,2.421,0.582
1662.47,3.299,1.846,2.421,0.582
1662.63,3.299,1.846,2.421,0.582
1662.78,3.299,1.846,2.421,0.582
1662.93,3.299,1.846,2.421,0.582
1663.08,3.299,1.846,2.421,0.582
1663.24,3.299,1.846,2.421,0.582
1663.39,3.299,1.846,2.421,0.582
1663.54,3.299,1.846,2.421,0.582
1663.69,3.299,1.846,2.421,0.582
1663.85,3.299,1.846,2.421,0.582
1664.0,3.299,1.846,2.421,0.582
1664.15,3.299,1.846,2.421,0.582
1664.3,3.299,1.846,2.421,0.582
1664.45,3.299,1.846,2.421,0.582
1664.61,3.299,1.846,2.421,0.582
1664.76,3.299,1.846,2.421,0.582
1664.91,3.299,1.846,2.421,0.582
1665.06,3.299,1.846,2.421,0.582
1665.22,3.299,1.846,2.421,0.582
1665.37,3.299,1.846,2.421,0.582
1665.52,3.299,1.846,2.421,0.582
1665.67,3.299,1.846,2.421,0.582
1665.83,3.299,1.846,2.421,0.582
1665.98,3.299,1.846,2.421,0.582
1666.13,3.299,1.846,2.421,0.582
1666.28,3.299,1.846,2.421,0.582
1666.44,3.299,1.846,2.421,0.582
1666.59,3.299,1.846,2.421,0.582
1666.74,3.299,1.846,2.421,0.582
1666.89,3.299,1.846,2.421,0.582
1667.05,3.299,1.846,2.421,0.582
1667.2,3.299,1.846,2.421,0.582
1667.35,3.299,1.846,2.421,0.582
1667.5,3.299,1.846,2.421,0.582
1667.66,3.299,1.846,2.421,0.582
1667.81,3.299,1.846,2.421,0.582
1667.96,3.299,1.846,2.421,0.582
1668.11,3.299,1.846,2.421,0.582
1668.26,3.299,1.846,2.421,0.582
1668.42,3.299,1.846,2.421,0.582
1668.57,3.299,1.846,2.421,0.582
1668.72,3.299,1.846,2.421,0.582
1668.87,3.299,1.846,2.421,0.582
1669.03,3.299,1.846,2.421,0.582
1669.18,3.299,1.846,2.421,0.582
1669.33,3.299,1.846,2.421,0.582
1669.48,3.299,1.846,2.421,0.582
1669.64,3.299,1.846,2.421,0.582
1669.79,3.299,1.846,2.421,0.582
1669.94,3.299,1.846,2.421,0.582
1670.09,3.299,1.846,2.421,0.582
1670.25,3.299,1.846,2.421,0.582
1670.4,3.299,1.846,2.421,0.582
1670.55,3.299,1.846,2.421,0.582
1670.7,3.299,1.846,2.421,0.582
1670.86,3.299,1.846,2.421,0.582
1671.01,3.299,1.846,2.421,0.582
1671.16,3.299,1.846,2.421,0.582
1671.31,3.299,1.846,2.421,0.582
1671.47,3.299,1.846,2.421,0.582
1671.62,3.299,1.846,2.421,0.582
1671.77,3.299,1.846,2.421,0.582
1671.92,3.299,1.846,2.421,0.582
1672.07,3.299,1.846,2.421,0.582
1672.23,3.299,1.846,2.421,0.582
1672.38,3.299,1.846,2.421,0.582
1672.53,3.299,1.846,2.421,0.582
1672.68,3.299,1.846,2.421,0.582
1672.84,3.299,1.846,2.421,0.582
1672.99,3.299,1.846,2.421,0.582
1673.14,3.299,1.846,2.421,0.582
1673.29,3.299,1.846,2.421,0.582
1673.45,3.299,1.846,2.421,0.582
1673.6,3.299,1.846,2.421,0.582
1673.75,3.299,1.846,2.421,0.582
1673.9,3.299,1.846,2.421,0.582
1674.06,3.299,1.846,2.421,0.582
1674.21,3.299,1.846,2.421,0.582
1674.36,3.299,1.846,2.421,0.582
1674.51,3.299,1.846,2.421,0.582
