Depth_m,Vp_km/s,Vs_km/s,GammaRay_api,Density_g/cc,Caliper_m,Swt_v/v,Phit_v/v,Vsh_v/v
1580.03,3.13,1.85,101.61,2.56,0.22,1.00,0.12,0.81
1580.18,2.82,1.99,109.44,2.54,0.22,1.00,0.12,0.87
1580.33,2.62,2.16,117.63,2.50,0.22,1.00,0.11,0.93
1580.48,2.48,2.32,120.55,2.46,0.22,1.00,0.11,0.96
1580.63,2.47,2.81,116.01,2.43,0.22,1.00,0.11,0.92
1580.79,2.51,3.03,106.80,2.43,0.22,1.00,0.12,0.85
1580.94,2.78,2.39,94.21,2.45,0.22,1.00,0.14,0.74
1581.09,3.10,2.12,79.64,2.47,0.22,0.98,0.14,0.62
1581.24,3.24,2.08,67.05,2.47,0.22,0.90,0.15,0.50
1581.40,3.30,2.04,58.80,2.46,0.22,0.90,0.14,0.42
1581.55,3.34,2.00,54.63,2.44,0.22,1.00,0.12,0.38
1581.70,3.37,1.99,53.21,2.43,0.21,1.00,0.12,0.37
1581.85,3.39,2.01,52.65,2.41,0.21,1.00,0.12,0.36
1582.01,3.41,2.04,50.65,2.42,0.21,0.99,0.12,0.34
1582.16,3.44,2.07,45.74,2.43,0.22,0.89,0.13,0.29
1582.31,3.45,2.08,40.31,2.43,0.22,0.88,0.13,0.24
1582.46,3.47,2.09,38.32,2.42,0.22,0.99,0.12,0.22
1582.62,3.50,2.09,40.14,2.41,0.22,1.00,0.12,0.24
1582.77,3.52,2.10,42.87,2.41,0.22,0.94,0.12,0.26
1582.92,3.53,2.12,44.48,2.41,0.21,0.96,0.12,0.28
1583.07,3.56,2.13,45.73,2.42,0.21,0.96,0.12,0.29
1583.23,3.67,2.13,48.00,2.42,0.21,1.00,0.12,0.32
1583.38,3.83,2.14,51.73,2.40,0.21,1.00,0.12,0.35
1583.53,3.97,2.21,58.39,2.40,0.21,1.00,0.12,0.42
1583.68,3.48,2.23,70.45,2.43,0.21,1.00,0.12,0.53
1583.84,3.04,2.02,84.61,2.47,0.21,1.00,0.12,0.66
1583.99,2.78,1.76,92.48,2.42,0.21,1.00,0.12,0.73
1584.14,2.58,1.56,93.87,2.26,0.21,1.00,0.14,0.74
1584.29,2.54,1.41,96.89,2.14,0.21,1.00,0.15,0.77
1584.44,2.55,1.28,104.09,2.17,0.22,1.00,0.16,0.83
1584.60,2.51,1.17,110.12,2.28,0.22,1.00,0.15,0.87
1584.75,2.45,1.08,111.34,2.35,0.22,1.00,0.14,0.88
1584.90,2.39,1.03,110.06,2.39,0.22,1.00,0.14,0.87
1585.05,2.40,1.02,110.00,2.40,0.22,1.00,0.14,0.87
1585.21,2.60,1.09,110.14,2.42,0.22,1.00,0.14,0.87
1585.36,2.99,1.20,105.40,2.44,0.22,1.00,0.14,0.84
1585.51,3.44,1.34,95.87,2.45,0.22,1.00,0.15,0.76
1585.66,3.66,1.56,88.86,2.48,0.22,1.00,0.15,0.70
1585.82,3.64,1.69,88.53,2.50,0.22,1.00,0.14,0.70
1585.97,3.56,1.68,91.85,2.52,0.22,1.00,0.13,0.72
1586.12,3.46,1.61,95.56,2.53,0.22,1.00,0.13,0.76
1586.27,3.31,1.53,100.21,2.54,0.22,1.00,0.13,0.79
1586.43,3.09,1.46,105.54,2.54,0.22,1.00,0.13,0.84
1586.58,2.92,1.36,108.89,2.54,0.22,1.00,0.12,0.86
1586.73,2.85,1.28,108.13,2.53,0.22,1.00,0.12,0.86
1586.88,2.91,1.27,104.13,2.52,0.22,1.00,0.12,0.83
1587.04,3.08,1.29,101.08,2.51,0.22,1.00,0.13,0.80
1587.19,3.27,1.38,100.55,2.51,0.22,1.00,0.12,0.80
1587.34,3.39,1.53,100.78,2.53,0.22,1.00,0.12,0.80
1587.49,3.41,1.65,101.58,2.56,0.22,1.00,0.11,0.81
1587.65,3.40,1.67,102.27,2.59,0.21,1.00,0.11,0.81
1587.80,3.41,1.64,100.91,2.59,0.21,1.00,0.11,0.80
1587.95,3.49,1.63,96.93,2.60,0.21,1.00,0.11,0.77
1588.10,3.57,1.65,92.16,2.64,0.21,1.00,0.11,0.73
1588.25,3.61,1.66,91.68,2.69,0.21,1.00,0.11,0.72
1588.41,3.60,1.67,97.03,2.70,0.21,1.00,0.11,0.77
1588.56,3.56,1.67,102.23,2.67,0.21,1.00,0.11,0.81
1588.71,3.49,1.65,104.47,2.64,0.22,1.00,0.12,0.83
1588.86,3.39,1.64,107.74,2.62,0.22,1.00,0.12,0.86
1589.02,3.16,1.58,113.06,2.59,0.22,1.00,0.12,0.90
1589.17,2.89,1.44,116.31,2.55,0.22,1.00,0.11,0.92
1589.32,2.75,1.23,116.16,2.49,0.22,1.00,0.11,0.92
1589.47,2.69,1.11,113.85,2.42,0.22,1.00,0.12,0.90
1589.63,2.63,1.07,111.61,2.37,0.22,1.00,0.13,0.89
1589.78,2.62,1.05,112.11,2.36,0.22,1.00,0.14,0.89
1589.93,2.68,1.13,113.33,2.39,0.22,1.00,0.13,0.90
1590.08,2.76,1.25,111.52,2.44,0.22,1.00,0.13,0.89
1590.24,2.84,1.34,107.99,2.47,0.22,1.00,0.13,0.86
1590.39,2.93,1.39,105.59,2.48,0.22,1.00,0.14,0.84
1590.54,3.02,1.42,104.69,2.51,0.22,1.00,0.14,0.83
1590.69,3.06,1.43,105.36,2.54,0.22,1.00,0.14,0.84
1590.85,3.04,1.42,107.86,2.56,0.21,1.00,0.13,0.86
1591.00,3.01,1.41,110.72,2.54,0.21,1.00,0.13,0.88
1591.15,2.99,1.40,113.29,2.50,0.21,1.00,0.13,0.90
1591.30,2.98,1.39,115.61,2.48,0.21,1.00,0.12,0.92
1591.46,2.95,1.39,113.98,2.47,0.21,1.00,0.12,0.90
1591.61,2.95,1.39,105.98,2.42,0.21,1.00,0.13,0.84
1591.76,2.98,1.40,98.23,2.28,0.21,1.00,0.16,0.78
1591.91,3.01,1.42,98.53,2.11,0.21,1.00,0.16,0.78
1592.06,3.05,1.45,104.34,2.07,0.22,1.00,0.16,0.83
1592.22,3.07,1.49,106.41,2.16,0.22,1.00,0.15,0.84
1592.37,3.09,1.52,101.59,2.32,0.22,1.00,0.15,0.81
1592.52,3.10,1.54,95.21,2.46,0.22,1.00,0.14,0.75
1592.67,3.13,1.55,92.48,2.52,0.22,1.00,0.13,0.73
1592.83,3.17,1.57,92.82,2.55,0.22,1.00,0.11,0.73
1592.98,3.16,1.56,94.08,2.56,0.22,1.00,0.11,0.74
1593.13,3.14,1.54,95.84,2.57,0.22,1.00,0.11,0.76
1593.28,3.14,1.54,95.86,2.57,0.21,1.00,0.11,0.76
1593.44,3.14,1.54,92.16,2.56,0.21,1.00,0.11,0.73
1593.59,3.14,1.54,88.75,2.55,0.21,1.00,0.12,0.70
1593.74,3.14,1.54,89.51,2.56,0.22,1.00,0.12,0.70
1593.89,3.13,1.54,91.42,2.56,0.22,1.00,0.11,0.72
1594.05,3.13,1.54,91.47,2.57,0.22,1.00,0.10,0.72
1594.20,3.12,1.54,93.55,2.57,0.21,1.00,0.10,0.74
1594.35,3.10,1.52,100.08,2.56,0.21,1.00,0.11,0.79
1594.50,3.06,1.50,105.96,2.53,0.21,1.00,0.11,0.84
1594.66,3.06,1.48,106.83,2.52,0.21,1.00,0.12,0.85
1594.81,3.10,1.46,103.66,2.52,0.21,1.00,0.12,0.82
1594.96,3.12,1.45,98.84,2.54,0.21,1.00,0.12,0.78
1595.11,3.02,1.44,96.69,2.55,0.21,1.00,0.13,0.77
1595.27,2.84,1.38,99.89,2.56,0.21,1.00,0.13,0.79
1595.42,2.72,1.26,103.77,2.49,0.21,1.00,0.13,0.82
1595.57,2.70,1.19,105.58,2.44,0.22,1.00,0.13,0.84
1595.72,2.86,1.21,106.16,2.42,0.22,1.00,0.13,0.84
1595.87,3.08,1.31,105.34,2.45,0.22,1.00,0.13,0.84
1596.03,3.21,1.47,103.62,2.50,0.22,1.00,0.12,0.82
1596.18,3.28,1.59,100.22,2.53,0.22,1.00,0.12,0.79
1596.33,3.32,1.64,94.22,2.57,0.22,1.00,0.12,0.74
1596.48,3.33,1.68,88.07,2.58,0.22,1.00,0.11,0.69
1596.64,3.33,1.70,86.02,2.58,0.22,1.00,0.11,0.67
1596.79,3.30,1.70,89.64,2.56,0.22,1.00,0.11,0.71
1596.94,3.28,1.71,95.63,2.55,0.22,1.00,0.11,0.76
1597.09,3.32,1.71,100.15,2.54,0.22,1.00,0.10,0.79
1597.25,3.38,1.69,101.74,2.53,0.22,1.00,0.10,0.81
1597.40,3.35,1.67,101.08,2.52,0.22,1.00,0.10,0.80
1597.55,3.17,1.57,98.12,2.45,0.21,1.00,0.11,0.78
1597.70,3.02,1.41,89.41,2.09,0.22,1.00,0.12,0.70
1597.86,2.92,1.33,74.28,1.76,0.22,1.00,0.12,0.57
1598.01,2.88,1.39,61.89,1.64,0.22,1.00,0.13,0.45
1598.16,3.00,1.48,61.99,1.74,0.22,1.00,0.12,0.46
1598.31,3.23,1.58,72.01,2.02,0.21,1.00,0.11,0.55
1598.47,3.38,1.70,81.25,2.34,0.21,1.00,0.10,0.63
1598.62,3.45,1.77,85.07,2.49,0.21,1.00,0.10,0.67
1598.77,3.50,1.80,84.74,2.51,0.21,1.00,0.10,0.66
1598.92,3.55,1.84,82.01,2.53,0.21,1.00,0.09,0.64
1599.08,3.61,1.88,79.00,2.55,0.22,1.00,0.09,0.61
1599.23,3.60,1.91,77.38,2.56,0.22,1.00,0.09,0.60
1599.38,3.54,1.91,78.05,2.58,0.22,1.00,0.09,0.60
1599.53,3.48,1.88,81.32,2.59,0.21,1.00,0.10,0.63
1599.68,3.44,1.85,85.01,2.59,0.21,1.00,0.10,0.67
1599.84,3.43,1.87,86.91,2.57,0.21,1.00,0.10,0.68
1599.99,3.48,1.88,88.20,2.56,0.21,1.00,0.10,0.69
1600.14,3.55,1.88,90.80,2.55,0.22,1.00,0.10,0.72
1600.29,3.58,1.87,95.22,2.55,0.22,1.00,0.10,0.75
1600.45,3.57,1.85,99.57,2.55,0.22,1.00,0.11,0.79
1600.60,3.49,1.82,100.77,2.54,0.21,1.00,0.12,0.80
1600.75,3.35,1.72,100.27,2.51,0.21,1.00,0.13,0.79
1600.90,3.23,1.43,102.16,2.46,0.21,1.00,0.14,0.81
1601.06,3.14,1.33,106.04,2.39,0.21,1.00,0.14,0.84
1601.21,3.08,1.38,107.43,2.30,0.21,1.00,0.14,0.85
1601.36,3.04,1.39,104.88,2.21,0.21,1.00,0.15,0.83
1601.51,3.04,1.42,101.57,2.21,0.21,1.00,0.16,0.81
1601.67,3.09,1.51,98.31,2.32,0.21,1.00,0.16,0.78
1601.82,3.14,1.52,93.83,2.45,0.21,1.00,0.15,0.74
1601.97,3.17,1.55,90.41,2.51,0.21,1.00,0.13,0.71
1602.12,3.24,1.59,91.24,2.53,0.21,1.00,0.12,0.72
1602.28,3.29,1.60,94.97,2.53,0.21,1.00,0.12,0.75
1602.43,3.33,1.63,98.03,2.54,0.21,1.00,0.12,0.78
1602.58,3.36,1.64,99.53,2.55,0.21,1.00,0.12,0.79
1602.73,3.33,1.64,100.19,2.55,0.21,1.00,0.12,0.79
1602.89,3.25,1.63,100.76,2.55,0.21,1.00,0.12,0.80
1603.04,3.17,1.60,101.73,2.54,0.21,1.00,0.12,0.81
1603.19,3.18,1.56,102.09,2.53,0.21,1.00,0.12,0.81
1603.34,3.26,1.55,99.70,2.54,0.21,1.00,0.12,0.79
1603.49,3.34,1.54,94.99,2.54,0.21,1.00,0.12,0.75
1603.65,3.15,1.53,91.28,2.44,0.21,1.00,0.13,0.72
1603.80,2.87,1.48,91.33,2.22,0.21,1.00,0.15,0.72
1603.95,2.66,1.36,96.11,2.07,0.21,1.00,0.17,0.76
1604.10,2.56,1.20,104.33,2.08,0.21,1.00,0.18,0.83
1604.26,2.52,1.11,112.40,2.15,0.22,1.00,0.15,0.89
1604.41,2.49,1.07,116.19,2.28,0.22,1.00,0.13,0.92
1604.56,2.46,1.05,113.80,2.38,0.22,1.00,0.12,0.90
1604.71,2.38,1.06,104.23,2.35,0.22,1.00,0.13,0.83
1604.87,2.30,1.03,87.28,2.08,0.22,1.00,0.14,0.69
1605.02,2.27,1.02,68.57,1.74,0.22,1.00,0.13,0.52
1605.17,2.30,1.02,58.85,1.54,0.22,1.00,0.13,0.42
1605.32,2.37,1.03,63.78,1.53,0.22,1.00,0.13,0.47
1605.48,2.43,1.01,79.42,1.68,0.22,1.00,0.14,0.62
1605.63,2.51,0.97,96.59,1.90,0.21,1.00,0.14,0.76
1605.78,2.67,1.00,107.98,2.13,0.21,1.00,0.14,0.86
1605.93,2.82,1.07,112.95,2.31,0.22,1.00,0.13,0.90
1606.09,2.89,1.16,113.97,2.41,0.22,1.00,0.12,0.90
1606.24,2.89,1.26,111.26,2.47,0.22,1.00,0.11,0.88
1606.39,2.86,1.28,106.66,2.50,0.22,1.00,0.12,0.85
1606.54,2.93,1.29,104.04,2.51,0.22,1.00,0.13,0.83
1606.70,3.03,1.34,104.20,2.51,0.22,1.00,0.13,0.83
1606.85,3.08,1.40,106.30,2.51,0.22,1.00,0.12,0.84
1607.00,3.11,1.42,109.60,2.52,0.22,1.00,0.12,0.87
1607.15,3.16,1.43,112.08,2.52,0.22,1.00,0.11,0.89
1607.30,3.23,1.45,111.02,2.52,0.22,1.00,0.11,0.88
1607.46,3.32,1.49,105.11,2.53,0.22,1.00,0.11,0.83
1607.61,3.39,1.53,96.94,2.54,0.22,1.00,0.12,0.77
1607.76,3.44,1.58,91.51,2.55,0.22,1.00,0.11,0.72
1607.91,3.48,1.63,91.30,2.55,0.21,1.00,0.11,0.72
1608.07,3.52,1.65,94.85,2.54,0.21,1.00,0.11,0.75
1608.22,3.50,1.64,99.01,2.54,0.21,1.00,0.11,0.78
1608.37,3.48,1.62,101.55,2.54,0.21,1.00,0.12,0.81
1608.52,3.46,1.58,102.78,2.55,0.21,1.00,0.12,0.82
1608.68,3.29,1.53,105.07,2.55,0.22,1.00,0.12,0.83
1608.83,2.98,1.44,108.38,2.50,0.22,1.00,0.12,0.86
1608.98,2.67,1.33,108.70,2.35,0.21,1.00,0.12,0.86
1609.13,2.52,1.22,104.27,2.18,0.21,1.00,0.14,0.83
1609.29,2.45,1.13,98.75,2.04,0.22,1.00,0.16,0.78
1609.44,2.47,1.10,95.05,2.00,0.22,1.00,0.17,0.75
1609.59,2.57,1.13,92.94,2.06,0.22,1.00,0.18,0.73
1609.74,2.81,1.21,92.66,2.18,0.22,1.00,0.18,0.73
1609.90,3.01,1.31,94.81,2.33,0.22,1.00,0.16,0.75
1610.05,3.12,1.43,97.03,2.46,0.22,1.00,0.14,0.77
1610.20,3.20,1.55,96.37,2.52,0.22,1.00,0.11,0.76
1610.35,3.24,1.61,92.99,2.54,0.21,1.00,0.11,0.73
1610.51,3.24,1.66,88.98,2.56,0.21,1.00,0.10,0.70
1610.66,3.33,1.72,85.30,2.57,0.21,1.00,0.10,0.67
1610.81,3.44,1.80,82.35,2.59,0.21,1.00,0.10,0.64
1610.96,3.53,1.86,80.71,2.60,0.21,1.00,0.10,0.63
1611.11,3.58,1.90,81.05,2.61,0.21,1.00,0.10,0.63
1611.27,3.59,1.92,83.60,2.62,0.21,1.00,0.10,0.65
1611.42,3.57,1.91,86.13,2.62,0.21,1.00,0.10,0.68
1611.57,3.55,1.88,86.00,2.62,0.21,1.00,0.10,0.67
1611.72,3.54,1.87,85.00,2.61,0.21,1.00,0.10,0.67
1611.88,3.53,1.87,86.28,2.60,0.21,1.00,0.10,0.68
1612.03,3.53,1.87,88.29,2.58,0.21,1.00,0.10,0.69
1612.18,3.54,1.87,87.78,2.57,0.21,1.00,0.11,0.69
1612.33,3.55,1.89,84.75,2.57,0.21,1.00,0.11,0.66
1612.49,3.56,1.91,81.44,2.57,0.21,1.00,0.12,0.63
1612.64,3.57,1.93,79.50,2.57,0.21,1.00,0.11,0.62
